"id";"datum";"fallzahl";"neue_faelle";"genesene";"todesfaelle";"7_tage_inzidenz";"rel_veraenderung_der_7_tage_inzidenz";"its_belegung";"4_tage_r_wert_berlin_rki"
"217";"2020-05-27";"6702";"30";"6175";"195";"4";"-32.9";"4.4";"1.66"
"214";"2020-05-26";"6672";"21";"6123";"193";"4.6";"-18.8";"4.5";"1.41"
"211";"2020-05-25";"6651";"10";"6086";"191";"4.9";"-6.6";"0";"0.78"
"208";"2020-05-24";"6641";"5";"6060";"191";"5";"-4.1";"0";"0.41"
"205";"2020-05-23";"6636";"25";"6049";"191";"5.2";"-0.5";"0";"0.36"
"202";"2020-05-22";"6611";"29";"6018";"190";"4.7";"-4.8";"0";"0.88"
"199";"2020-05-21";"6582";"30";"5987";"190";"5.6";"6.5";"0";"0.9"
"196";"2020-05-20";"6552";"49";"5959";"186";"5.9";"11.6";"0";"1.37"
"193";"2020-05-19";"6503";"29";"5918";"186";"5.7";"-0.9";"0";"1.23"
"190";"2020-05-18";"6474";"20";"5880";"182";"5.2";"-20.9";"0";"1.22"
"187";"2020-05-17";"6454";"11";"5850";"180";"5.2";"-27.8";"0";"1.09"
"184";"2020-05-16";"6443";"19";"5825";"181";"5.3";"-31";"0";"0.78"
"181";"2020-05-15";"6424";"31";"5787";"181";"4.9";"-39.6";"0";"1.07"
"178";"2020-05-14";"6393";"55";"5737";"177";"5.3";"-35.2";"0";"1.08"
"175";"2020-05-13";"6338";"44";"5687";"173";"5.3";"-37.2";"0";"1.07"
"172";"2020-05-12";"6294";"25";"5641";"170";"5.7";"-37.5";"0";"1.02"
"169";"2020-05-11";"6269";"2";"5586";"165";"6.6";"-28.7";"0";"0.91"
"166";"2020-05-10";"6267";"11";"5518";"165";"7.2";"-19.2";"0";"0.69"
"163";"2020-05-09";"6256";"20";"5477";"165";"7.6";"-20.5";"0";"0.42"
"160";"2020-05-08";"6236";"33";"5431";"164";"8.2";"-24.7";"0";"0.54"
"157";"2020-05-07";"6203";"60";"5364";"163";"8.1";"-29.9";"0";"0.71"
"154";"2020-05-06";"6143";"57";"5296";"162";"8.4";"-29.7";"0";"0.79"
"151";"2020-05-05";"6086";"50";"5296";"162";"9.1";"-22.9";"0";"0.87"
"148";"2020-05-04";"6036";"32";"5154";"154";"9.3";"-19.8";"0";"0.74"
"145";"2020-05-03";"6004";"34";"5091";"154";"9";"-24.4";"0";"0.59"
"142";"2020-05-02";"5970";"34";"5040";"154";"9.6";"-24";"0";"0.68"
"139";"2020-05-01";"5936";"55";"4978";"152";"10.9";"-21.8";"0";"0.68"
"136";"2020-04-30";"5881";"60";"4897";"149";"11.6";"-17.5";"0";"0.8"
"133";"2020-04-29";"5821";"83";"4837";"147";"12";"-19.9";"0";"0.88"
"130";"2020-04-28";"5738";"61";"4730";"137";"11.8";"-20.6";"0";"0.93"
"127";"2020-04-27";"5677";"33";"4652";"127";"11.5";"-24.5";"0";"1"
"124";"2020-04-26";"5644";"37";"4587";"125";"11.9";"-25.3";"0";"1"
"121";"2020-04-25";"5607";"75";"4508";"123";"12.6";"-21.2";"0";"0.9"
"118";"2020-04-24";"5532";"56";"4412";"113";"13.9";"-7.4";"0";"1"
"115";"2020-04-23";"5476";"121";"0";"112";"14.1";"-18.1";"0";"0.9"
"112";"2020-04-22";"5355";"14";"0";"105";"14.9";"-21.1";"0";"1"
"109";"2020-04-21";"5341";"76";"0";"105";"14.9";"-33.3";"0";"0"
"106";"2020-04-20";"5265";"40";"0";"97";"15.3";"-37.8";"0";"0"
"103";"2020-04-19";"5225";"38";"0";"94";"15.9";"-37";"0";"0"
"100";"2020-04-18";"5187";"96";"0";"92";"16";"-37.8";"0";"1"
"97";"2020-04-17";"5091";"120";"0";"91";"15";"-49.8";"0";"0"
"94";"2020-04-16";"4971";"101";"0";"84";"17.2";"-45.5";"0";"0"
"91";"2020-04-15";"4870";"141";"0";"74";"18.9";"-40.3";"0";"0"
"88";"2020-04-14";"4729";"62";"0";"62";"22.3";"-30.2";"0";"0"
"85";"2020-04-13";"4667";"84";"0";"56";"24.6";"-24.8";"0";"0.6"
"82";"2020-04-12";"4583";"30";"0";"51";"25.2";"-23.5";"0";"0"
"79";"2020-04-11";"4553";"107";"0";"50";"25.7";"-27.1";"0";"0"
"76";"2020-04-10";"4446";"89";"0";"46";"29.9";"-13.1";"0";"0"
"73";"2020-04-09";"4357";"145";"0";"42";"31.5";"-11.5";"0";"0.9"
"70";"2020-04-08";"4212";"174";"0";"37";"31.7";"-14.6";"0";"0"
"67";"2020-04-07";"4038";"176";"0";"32";"32";"-12.9";"0";"0"
"64";"2020-04-06";"3862";"175";"0";"28";"32.7";"-10.7";"0";"0"
"61";"2020-04-05";"3687";"61";"0";"26";"32.9";"-8.6";"0";"0"
"58";"2020-04-04";"3626";"140";"0";"24";"35.3";"3.3";"0";"0"
"55";"2020-04-03";"3486";"263";"0";"22";"34.4";"3.4";"0";"0"
"52";"2020-04-02";"3223";"230";"0";"20";"35.6";"17.1";"0";"0"
"49";"2020-04-01";"2993";"216";"0";"0";"37.1";"33.5";"0";"0"
"46";"2020-03-31";"2777";"196";"0";"16";"36.8";"47";"0";"0"
"43";"2020-03-30";"2581";"119";"0";"13";"36.6";"62.7";"0";"0"
"40";"2020-03-29";"2462";"125";"0";"11";"36";"68.7";"0";"0"
"37";"2020-03-28";"2337";"185";"0";"9";"34.2";"82.2";"0";"0"
"34";"2020-03-27";"2152";"215";"0";"8";"33.2";"110.2";"0";"0"
"31";"2020-03-26";"1937";"292";"0";"7";"30.4";"147.7";"0";"0"
"28";"2020-03-25";"1645";"220";"0";"4";"27.8";"192.2";"0";"0"
"25";"2020-03-24";"1425";"206";"0";"3";"25";"214.3";"0";"0"
"22";"2020-03-23";"1219";"148";"0";"2";"22.5";"228.3";"0";"0"
"19";"2020-03-22";"1071";"46";"0";"1";"21.4";"231.3";"0";"0"
"16";"2020-03-21";"1025";"157";"0";"1";"18.8";"228.8";"0";"0"
"13";"2020-03-20";"868";"180";"0";"1";"15.8";"270.2";"0";"0"
"10";"2020-03-19";"688";"169";"0";"0";"12.3";"273.4";"0";"0"
"7";"2020-03-18";"519";"136";"0";"0";"9.5";"322.4";"0";"0"
"4";"2020-03-17";"383";"51";"0";"0";"8";"426.3";"0";"0"
"1";"2020-03-16";"332";"332";"0";"0";"6.8";"0";"0";"0"
